10.772129296551517 161.82089661668994 ;0.17028429045356283 0.9999896598476574 0.9458581929405044 0.0 1.0 
10.81381421023919 161.81943557415013 ;0.16815740075617625 0.9918044046830397 0.966510856269591 0.0 1.0 
10.816864464291521 160.81356660181535 ;0.1689764397111416 0.9529842479713304 0.9906779008688645 0.0 0.9960970939198577 
10.925480560364605 160.74675557231424 ;0.1662570813879738 1.0 0.9556955777379524 0.0 1.0 
10.932726796020148 159.9663698242153 ;0.1689764397111416 0.9956848333563267 0.9906779008688645 0.0 0.9872651676825335 
11.121292287689316 159.50966249675233 ;0.18928682793728074 0.9912504450845852 0.9073327563343215 0.0 0.8574916640993513 
11.122301183731075 158.53089866283102 ;0.17058312847154156 0.9990165137812081 0.9868829017496862 0.0 0.9441139785988849 
11.210688847326532 158.5088275664672 ;0.1478544695411529 0.9960295296795758 0.9788249392291464 5.452325133813316E-4 1.0 
11.259103980225595 158.40949749932108 ;0.16125330951327155 1.0 0.989656190750912 0.0 0.9179111061758347 
11.324092883210556 157.87891408782588 ;0.1321483416628389 0.9917867329470854 0.9999851925771079 0.027535574244747174 1.0 
11.447152633144007 157.04526193130914 ;0.1374822770102771 0.9971570434845842 0.9952041066536234 0.007350555194133438 0.9923265488792453 
11.480832128288348 156.50174372964312 ;0.1441781840249332 1.0 0.9449669750275763 0.0 1.0 
11.515425832000453 156.45515604252952 ;0.16125330951327155 1.0 0.989656190750912 0.0 0.8978445592349578 
11.55108162805112 155.89941582573144 ;0.13950493946708398 0.9825978236406251 1.0 0.0 1.0 
11.73422164326788 155.62230891005655 ;0.1537805010214034 0.9604409942893634 1.0 0.0 0.8825409625671152 
11.752475566432295 154.96355686915123 ;0.13346769246946866 0.9791404346763228 1.0 0.0 1.0 
11.857111982486822 154.71809925670541 ;0.15676754293065626 0.9397145782366639 0.961372597707074 0.0 0.8747558263695838 
11.88386135654584 154.61108180462887 ;0.1580896393804107 0.9976253934925234 0.9920576945702799 1.0170519354193484E-4 0.8259931584248974 
11.962500890125703 154.56535577279612 ;0.12646307552583275 0.9997071358447619 0.9794196570432437 1.7478845453485308E-5 1.0 
11.993093715345346 153.9082381886563 ;0.15617158253579522 1.0 0.9476042348403311 4.527890520523642E-6 0.8396515922242056 
12.062554251644006 153.3920351065257 ;0.1226877995590035 0.9657745309851106 0.9747053810352639 1.8199239217978755E-4 1.0 
12.148034619624713 152.9892607388534 ;0.14198187364342524 0.997549224687723 0.9977502430419208 0.0010201410310141752 0.8598881248436478 
12.159422566058513 152.76628186284887 ;0.12560044062410486 0.9454861756482151 0.9581899909965417 0.0 1.0 
12.269794069635905 151.85056118209727 ;0.17183930516552276 0.9954830186278485 1.0 0.0 0.7169011246380963 
12.352401203794258 151.64089940463464 ;0.1237207184691749 0.9548931887716111 1.0 4.239708732300065E-6 0.9373488473006865 
12.422923057440759 151.59072073691362 ;0.17813447476747674 0.9954449500105788 0.9355214213554626 0.0 0.6846731814601488 
12.449654000029291 151.45415386359534 ;0.13096450888735475 0.9994845727974202 0.9552249056277019 0.0 0.8819238048815353 
